TRI_FACILITY_ID,V_TRI_FORM_R_COMP_EZ.FACILITY_NAME,V_TRI_FORM_R_COMP_EZ.EPA_REGISTRY_ID,V_TRI_FORM_R_COMP_EZ.STATE_ABBR,V_TRI_FORM_R_COMP_EZ.PRIMARY_NAICS_CODE,V_TRI_FORM_R_COMP_EZ.INDUSTRY_CODE,V_TRI_FORM_R_COMP_EZ.DOC_CTRL_NUM,V_TRI_FORM_R_COMP_EZ.CHEM_NAME,V_TRI_FORM_R_COMP_EZ.TRI_CHEM_ID,V_TRI_FORM_R_COMP_EZ.ELEMENTAL_METAL_INCLUDED,V_TRI_FORM_R_COMP_EZ.REPORTING_YEAR,V_TRI_FORM_R_COMP_EZ.TOTAL_ON_SITE_RELEASE,V_TRI_FORM_R_COMP_EZ.TOTAL_OFF_SITE_RELEASE,V_TRI_FORM_R_COMP_EZ.TOTAL_ON_OFF_SITE_RELEASE,V_TRI_FORM_R_COMP_EZ.AIR_TOTAL_RELEASE,V_TRI_FORM_R_COMP_EZ.FUGITIVE_TOT_REL,V_TRI_FORM_R_COMP_EZ.STACK_TOT_REL,V_TRI_FORM_R_COMP_EZ.WATER_TOTAL_RELEASE,V_TRI_FORM_R_COMP_EZ.WATER_BODY_NAME_1,V_TRI_FORM_R_COMP_EZ.WATER_RELEASE_1,V_TRI_FORM_R_COMP_EZ.WATER_BODY_NAME_2,V_TRI_FORM_R_COMP_EZ.WATER_RELEASE_2,V_TRI_FORM_R_COMP_EZ.WATER_BODY_NAME_3,V_TRI_FORM_R_COMP_EZ.WATER_RELEASE_3,V_TRI_FORM_R_COMP_EZ.LAND_TOTAL_RELEASE,V_TRI_FORM_R_COMP_EZ.RCRA_C_TOT_REL,V_TRI_FORM_R_COMP_EZ.OTH_LANDF_TOT_REL,V_TRI_FORM_R_COMP_EZ.SURF_IMP_TOT_REL,V_TRI_FORM_R_COMP_EZ.SRS_ID
81006PBLCS2005L,PUBLIC SERVICE CO OF COLORADO COMANCHE STATION,110000467851,CO,221112,2211,1319218084655,ZINC COMPOUNDS,N982,N,2019,"47,232",0,47232,1201,1,1200,31,OUTFALL 001,31,,,,,46000,0,46000,0,649699
80640SNCLR8581E,SINCLAIR DENVER PRODUCTS TERMINAL,110000467600,CO,424710,4247,1319218093514,ETHYLBENZENE,100414,N,2019,500,0,500,500,250,250,0,NA,0,,,,,0,0,0,0,19406
81626TRSTT2201R,TRI-STATE GENERATION & TRANSMISSION-CRAIG STATION,110041086393,CO,221112,2211,1319218014696,"SULFURIC ACID (1994 AND AFTER ""ACID AEROSOLS"" ONLY)",7664939,N,2019,"36,415",0,36415,36415,0,36415,0,NA,0,,,,,0,0,0,0,152405
80401DLPHC12THF,MOLSON COORS USA LLC - GOLDEN BREWERY,110033145736,CO,312120,3121,1319217972797,AMMONIA,7664417,N,2019,"23,180",0,23180,17880,17880,0,5300,CLEAR CREEK,5300,,,,,0,0,0,0,152389
80105SFTYK10855,CLEAN HARBORS DEER TRAIL LLC,110060947329,CO,562211,562,1319217972189,XYLENE (MIXED ISOMERS),1330207,N,2019,"26,278",0,26277.54,1.54,1.49,0.05,0,FIRST CREEK,0,,,,,26276,26276,0,0,84970
80621GLDNL1405E,GOLDEN ALUMINUM,110000467539,CO,331315,331,1319218063321,CHLORINE,7782505,N,2019,38,16267,16305,38,16,22,0,NA,0,,,,,0,0,0,0,154328
80525GLNTT4380S,AVAGO TECHNOLOGIES INC FORT COLLINS COLORADO,110008062577,CO,334413,334,1319217893635,NITRIC ACID,7697372,N,2019,18,0,18,18,1,17,0,NA,0,,,,,0,0,0,0,152686
80022CNCDN5801B,SUNCOR ENERGY COMMERCE CITY REFINERY,110032913024,CO,324110,324,1319218259442,COBALT COMPOUNDS,N096,N,2019,12,0,12,8,0,8,4,SAND CREEK,4,,,,,0,0,0,0,649970
8064WFRTRR945AL,FORTERRA PRECAST CONCEPTS INC,110070071330,CO,327390,327,1319218350546,LEAD,7439921,N,2019,0,0,0.288616,0.288616,0.280352,0.008264,0,NA,0,,,,,0,0,0,0,149583
80204NTDST320WE,US DEPARTMENT OF THE TREASURY US MINT DENVER,110000466816,CO,332119,332,1319218012894,LEAD,7439921,N,2019,0,2.6,2.6,0,0,0,0,NA,0,,,,,0,0,0,0,149583
81001SHLND250WI,KMG ELECTRONIC CHEMICALS INC,110043786356,CO,325180,325,1319218494591,HYDROGEN FLUORIDE,7664393,N,2019,89,0,89.3,89.3,0.39,88.91,0,NA,0,,,,,0,0,0,0,152371
8052WWDWRD141WD,WOODWARD INC,110067209498,CO,333618,333,1319217967520,CHROMIUM,7440473,N,2019,0,0.11,0.11,0,0,0,0,NA,0,,,,,0,0,0,0,150060
80022CNCDN5801B,SUNCOR ENERGY COMMERCE CITY REFINERY,110032913024,CO,324110,324,1319218259594,NAPHTHALENE,91203,N,2019,97,0.16,97.16,96,78,18,1,SAND CREEK,1,,,,,0,0,0,0,13326
80501LFRGW272ST,MARTIN MARIETTA - DEL CAMINO READY MIX,110022411004,CO,327320,327,1319218213332,NITRATE COMPOUNDS,N511,N,2019,0,0,0,0,0,0,0,NA,0,,,,,0,0,0,0,649616
81001TRNCX101WI,TRANE CO,110000467815,CO,333415,333,1319218360612,MANGANESE,7439965,N,2019,26,5,30.53,25.53,24.74,0.79,0,NA,0,,,,,0,0,0,0,149625
80640SNCLR8581E,SINCLAIR DENVER PRODUCTS TERMINAL,110000467600,CO,424710,4247,1319218093540,NAPHTHALENE,91203,N,2019,10,0,10,10,5,5,0,NA,0,,,,,0,0,0,0,13326
80860CRPPL2755S,CRIPPLE CREEK & VICTOR GOLD MINING CO,110041971337,CO,212221,2122,1319218055782,ZINC COMPOUNDS,N982,N,2019,6,0,6,6,1,5,0,NA,0,,,,,0,0,0,0,649699
8064WBSTWY11DAL,BESTWAY CONCRETE- DALLAS,110069246863,CO,327320,327,1319217662877,NITRATE COMPOUNDS,N511,N,2019,0,0,0,0,0,0,0,NA,0,,,,,0,0,0,0,649616
8060WVSTSB15BEA,VESTAS BLADES AMERICA INC BRIGHTON,110055499820,CO,333611,333,1319218075479,DIISOCYANATES,N120,N,2019,0,0,0,0,0,0,0,NA,0,,,,,0,0,0,0,649715
80022PHLLP3960E,PHILLIPS 66 CO DENVER TERMINAL,110000466638,CO,424710,4247,1319217824388,N-HEXANE,110543,N,2019,"1,030",0,1030,1030,250,780,0,SAND CREEK,0,,,,,0,0,0,0,26740
81001CLRDX29550,AIRGAS USA LLC,110001145378,CO,424690,4246,1319218247106,PROPYLENE,115071,N,2019,551,0,551,551,12,539,0,NA,0,,,,,0,0,0,0,29009
80640SNCLR8581E,SINCLAIR DENVER PRODUCTS TERMINAL,110000467600,CO,424710,4247,1319218093488,1 2 4-TRIMETHYLBENZENE,95636,N,2019,500,0,500,500,250,250,0,NA,0,,,,,0,0,0,0,16261
80116GGRGT2571N,AGGREGATE INDUSTRIES WCR INC FRANKTOWN READY MIX PLANT,110021161179,CO,327320,327,1319217805795,NITRATE COMPOUNDS,N511,N,2019,0,0,0,0,0,0,0,NA,0,,,,,0,0,0,0,649616
8100WVSTST1TWER,VESTAS TOWERS AMERICA,110039573896,CO,332312,332,1319218050526,MANGANESE,7439965,N,2019,83,96055.2,96138.26,83.06,83.06,0,0,NA,0,,,,,0,0,0,0,149625
81639PBLCS12795,PUBLIC SERVICE CO OF COLORADO HAYDEN STATION,110012355281,CO,221112,2211,1319218084844,ZINC COMPOUNDS,N982,N,2019,"10,171",0,10170.64,270.64,0.64,270,0,NA,0,,,,,9900,0,9900,0,649699
80915XLSNN3445N,WEATHERFORD ARTIFICIAL LIFT SYSTEMS LLC,110064129704,CO,332813,332,1319218165809,LEAD  and LEAD COMPOUNDS,N420,Y,2019,1,115.79305,116.83305,0,0,0,1.04,SAND CREEK,1.04,,,,,0,0,0,0,650002
80019MSTRC23655,ELKAY WOOD PRODUCTS CO,110030489077,CO,337110,337,1319218278861,XYLENE (MIXED ISOMERS),1330207,N,2019,"45,104",0,45104,45104,11276,33828,0,NA,0,,,,,0,0,0,0,84970
8023WFRTLY11645,FRITO-LAY INC DENVER,110001427858,CO,311919,311,1319217768973,PERACETIC ACID,79210,N,2019,0,0,0,0,0,0,0,NA,0,,,,,0,0,0,0,7682
8150WMLTCH73123,MULTI-CHEM GROUP GRAND JUNCTION CO FACILITY,110045534409,CO,424690,4246,1319218086597,METHANOL,67561,N,2019,283,1152,1435,283,93,190,0,NA,0,,,,,0,0,0,0,4283
8062WTLSLF14514,ATLAS OIL - FORT LUPTON,,CO,424710,4247,1319217785854,N-HEXANE,110543,N,2019,0,0,0,0,0,0,0,,,,,,,0,0,0,0,26740
81007NTRST646NS,INTERSTATE CHEMICAL CO INC,110038278226,CO,424690,4246,1319217895147,N-HEXANE,110543,N,2019,243,0,243.2,243.2,12.2,231,0,NA,0,,,,,0,0,0,0,26740
81006PBLCS2005L,PUBLIC SERVICE CO OF COLORADO COMANCHE STATION,110000467851,CO,221112,2211,1319218084527,"SULFURIC ACID (1994 AND AFTER ""ACID AEROSOLS"" ONLY)",7664939,N,2019,173,0,172.5,172.5,2.5,170,0,NA,0,,,,,0,0,0,0,152405
8042WCLMXMHIGHW,CLIMAX MOLYBDENUM CO-CLIMAX MINE,110046122851,CO,212299,2122,1319218063055,COBALT,7440484,N,2019,"27,000",0,27000,0,0,0,0,NA,0,,,,,27000,0,0,27000,150078
81503CLRDC56924,TOTAL PETROCHEMICALS & REFINING USA INC (TOTAL CRAY VALLEY),110007237533,CO,325212,325,1319218118317,XYLENE (MIXED ISOMERS),1330207,N,2019,"3,940",0,3940,3940,142,3798,0,COLORADO RIVER,0,,,,,0,0,0,0,84970
80002FRNTR6155W,ADVANCED SURFACE TECHNOLOGIES INC,110001728710,CO,332813,332,1319218036150,NICKEL COMPOUNDS,N495,N,2019,280,12408,12688,280,70,210,0,NA,0,,,,,0,0,0,0,650036
8002WPRNML6151B,PURINA ANIMAL NUTRITION LLC - COMMERCE CITY,110060260355,CO,311119,311,1319217625159,MANGANESE COMPOUNDS,N450,N,2019,0,0,0,0,0,0,0,,,,,,,0,0,0,0,650010
8021WCLSSC1299E,CLASSIC METALS,110070244438,CO,332323,332,1319217802988,NICKEL,7440020,N,2019,0,7,7,0,0,0,0,NA,0,,,,,0,0,0,0,149674
81226HLNMN3500S,HOLCIM (US) INC PORTLAND PLANT,110000600289,CO,327310,327,1319217825621,MERCURY,7439976,N,2019,53,0,52.63,50.63,0.02,50.61,0,NA,0,,,,,2,0,2,0,149633
80216KBPCL3600E,KBP COIL COATERS INC,110011372647,CO,332812,332,1319217955057,CERTAIN GLYCOL ETHERS,N230,N,2019,33,0,33,33,0,33,0,NA,0,,,,,0,0,0,0,649541
8090WRCKYM2725C,MARTIN MARIETTA - CAPITAL FACILITY,110001966141,CO,327320,327,1319218213597,LEAD  and LEAD COMPOUNDS,N420,Y,2019,0,0,0.4271,0.4271,0,0.4271,0,NA,0,,,,,0,0,0,0,650002
81639PBLCS12795,PUBLIC SERVICE CO OF COLORADO HAYDEN STATION,110012355281,CO,221112,2211,1319218084921,LEAD COMPOUNDS,N420,N,2019,"13,426",0,13426.159,26.159,0.859,25.3,0,NA,0,,,,,13400,0,13400,0,650002
