Code,Description
111998,All Other Miscellaneous Crop Farming (Limited to facilities primarily engaged in reducing maple sap to maple syrup)
113310,Logging
211130,Natural Gas Extraction (limited to facilities that recover sulfur from natural gas)
212111,Bituminous Coal and Lignite Surface Mining
212112,Bituminous Coal Underground Mining
212113,Anthracite Mining
212221,Gold Ore Mining
212222,Silver Ore Mining
212230,"Copper, Nickel, Lead, and Zinc Mining"
212299,All Other Metal Ore Mining
212324,Kaolin and Ball Clay Mining (limited to facilities operating without a mine or quarry and that are primarily engaged in beneficiating kaolin and clay)
212325,Clay and Ceramic and Refractory Minerals Mining (limited to facilities operating without a mine or quarry and that are primarily engaged in beneficiating clay and ceramic and refractory minerals)
212393,Other Chemical and Fertilizer Mineral Mining (limited to facilities operating without a mine or quarry that are primarily engaged in beneficiating chemical or fertilizer mineral raw materials)
212399,All Other Nonmetallic Mineral Mining (limited to facilities operating without a mine or quarry that are primarily engaged in beneficiating nonmetallic minerals)
221111,Hydroelectric Power Generation
221112,Fossil Fuel Electric Power Generation
221113,Nuclear Electric Power Generation
221118,Other Electric Power Generation
221121,Electric Bulk Power Transmission and Control
221122,Electric Power Distribution
221330,"Steam and Air Conditioning Supply (Limited to facilities engaged in providing combinations of electric, gas and other services, not elsewhere classified (NEC) (previously classified under SIC 4939, Combination Utility Services Not Elsewhere Classified.)"
311111,Dog and Cat Food Manufacturing
311119,Other Animal Food Manufacturing (except facilities primarily engaged in Custom Grain Grinding for Animal Feed)
311211,Flour Milling
311212,Rice Milling
311213,Malt Manufacturing
311221,Wet Corn Milling
311224,Soybean and Other Oilseed Processing
311225,Fats and Oils Refining and Blending
311230,Breakfast Cereal Manufacturing
311313,Beet Sugar Manufacturing
311314,Cane Sugar Manufacturing
311340,"Nonchocolate Confectionery Manufacturing (except facilities primarily engaged in the retail sale of candy, nuts, popcorn and other confections not for immediate consumption made on the premises)"
311351,Chocolate and Confectionery Manufacturing from Cacao Beans
311352,Confectionery Manufacturing from Purchased Chocolate
311411,"Frozen Fruit, Juice, and Vegetable Manufacturing"
311412,Frozen Specialty Food Manufacturing
311421,Fruit and Vegetable Canning
311422,Specialty Canning
311423,Dried and Dehydrated Food Manufacturing
311511,Fluid Milk Manufacturing
311512,Creamery Butter Manufacturing
311513,Cheese Manufacturing
311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing"
311520,Ice Cream and Frozen Dessert Manufacturing
311611,Animal (except Poultry) Slaughtering (except for facilities primarily engaged in Custom Slaughtering for individuals)
311612,Meat Processed from Carcasses [except for facilities primarily engaged in the cutting up and resale of purchased fresh carcasses for the trade (including boxed beef)]
311613,Rendering and Meat Byproduct Processing
311615,Poultry Processing
311710,Seafood Product Preparation and Packaging
311812,Commercial Bakeries
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing"
311821,Cookie and Cracker Manufacturing
311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour"
311830,Tortilla Manufacturing
311911,Roasted Nuts and Peanut Butter Manufacturing
311919,Other Snack Food Manufacturing
311920,Coffee and Tea Manufacturing
311930,Flavoring Syrup and Concentrate Manufacturing
311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing"
311942,Spice and Extract Manufacturing
311991,Perishable Prepared Food Manufacturing
311999,All Other Miscellaneous Food Manufacturing
312111,Soft Drink Manufacturing
312112,Bottled Water Manufacturing (except facilities primarily engaged in bottling mineral or spring water)
312113,Ice Manufacturing
312120,Breweries
312130,Wineries
312140,Distilleries
312210,Tobacco Stemming and Redrying
312230,Tobacco Manufacturing
313110,"Fiber, Yarn, and Thread Mills"
313210,Broadwoven Fabric Mills
313220,Narrow Fabric Mills and Schiffli Machine Embroidery
313230,Nonwoven Fabric Mills
313241,Knit Fabric Mills
313310,Textile and Fabric Finishing Mills (except facilities primarily engaged in converting broadwoven piece goods and broadwoven textiles and facilities primarily engaged in sponging fabric for tailors and dressmakers and facilities primarily engaged in converting narrow woven textiles and narrow woven piece goods)
313320,Fabric Coating Mills
314110,Carpet and Rug Mills
314120,Curtain and Linen Mills (except facilities primarily engaged in making custom drapery for retail sale)
314910,Textile Bag and Canvas Mills
314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills"
314999,"All Other Miscellaneous Textile Product Mills (except facilities engaged in binding carpets and rugs for the trade, carpet cutting and binding, and embroidering on textile products (except apparel) for the trade)"
315110,Hosiery and Sock Mills
315190,Other Apparel Knitting Mills
315210,Cut and Sew Apparel Contractors
315220,"Men’s and Boys’ Cut and Sew Apparel Manufacturing (except custom tailors primarily engaged in making and selling men’s and boy’s suits, cut and sewn from purchased fabric)"
315240,"Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing"
315280,Other Cut and Sew Apparel Manufacturing
315990,Apparel Accessories and Other Apparel Manufacturing
316110,Leather and Hide Tanning and Finishing
316210,Footwear Manufacturing
316992,Women’s Handbag and Purse Manufacturing
316998,All Other Leather Good and Allied Product Manufacturing
321113,Sawmills
321114,Wood Preservation
321211,Hardwood Veneer and Plywood Manufacturing
321212,Softwood Veneer and Plywood Manufacturing
321213,Engineered Wood Member (except Truss) Manufacturing
321214,Truss Manufacturing
321219,Reconstituted Wood Product Manufacturing
321911,Wood Window and Door Manufacturing
321912,"Cut Stock, Resawing Lumber, and Planing"
321918,Other Millwork (including Flooring)
321920,Wood Container and Pallet Manufacturing
321991,Manufactured Home (Mobile Home) Manufacturing
321992,Prefabricated Wood Building Manufacturing
321999,All Other Miscellaneous Wood Product Manufacturing
322110,Pulp Mills
322121,Paper (except Newsprint) Mills
322122,Newsprint Mills
322130,Paperboard Mills
322211,Corrugated and Solid Fiber Box Manufacturing
322212,Folding Paperboard Box Manufacturing
322219,Other Paperboard Container Manufacturing
322220,Paper Bag and Coated and Treated Paper Manufacturing
322230,Stationery Product Manufacturing
322291,Sanitary Paper Product Manufacturing
322299,All Other Converted Paper Product Manufacturing
323111,"Commercial Printing (Except Screen and Books) (except facilities primarily engaged in reproducing text, drawings, plans, maps, or other copy by blueprinting, photocopying, mimeographing, or other methods of duplication other than printing or microfilming (i.e., instant printing)"
323113,Commercial Screen Printing
323117,Books Printing
323120,Support Activities for Printing
324110,Petroleum Refineries
324121,Asphalt Paving Mixture and Block Manufacturing
324122,Asphalt Shingle and Coating Materials Manufacturing
324191,Petroleum Lubricating Oil and Grease Manufacturing
324199,All Other Petroleum and Coal Products Manufacturing
325110,Petrochemical Manufacturing
325120,Industrial Gas Manufacturing
325130,Synthetic Dye and Pigment Manufacturing
325180,Other Basic Inorganic Chemical Manufacturing
325193,Ethyl Alcohol Manufacturing
325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing"
325199,All Other Basic Organic Chemical Manufacturing
325211,Plastics Material and Resin Manufacturing
325212,Synthetic Rubber Manufacturing
325220,Artificial and Synthetic Fibers and Filaments Manufacturing
325311,Nitrogenous Fertilizer Manufacturing
325312,Phosphatic Fertilizer Manufacturing
325314,Fertilizer (Mixing Only) Manufacturing
325320,Pesticide and Other Agricultural Chemical Manufacturing
325411,Medicinal and Botanical Manufacturing
325412,Pharmaceutical Preparation Manufacturing
325413,In-Vitro Diagnostic Substance Manufacturing
325414,Biological Product (except Diagnostic) Manufacturing
325510,Paint and Coating Manufacturing
325520,Adhesive Manufacturing
