_TRI_FORM_TOTALS_EZ.REPORTING_YEAR,V_TRI_FORM_TOTALS_EZ.TRI_FACILITY_ID,V_TRI_FORM_TOTALS_EZ.FACILITY_NAME,V_TRI_FORM_TOTALS_EZ.STREET_ADDRESS,V_TRI_FORM_TOTALS_EZ.CITY_NAME,V_TRI_FORM_TOTALS_EZ.COUNTY_NAME,V_TRI_FORM_TOTALS_EZ.STATE_FIPS_CODE,V_TRI_FORM_TOTALS_EZ.STATE_ABBR,Code Expansion for State Abbreviation,V_TRI_FORM_TOTALS_EZ.ZIP_CODE,V_TRI_FORM_TOTALS_EZ.REGION,Code Expansion for Region,V_TRI_FORM_TOTALS_EZ.FAC_CLOSED_IND,V_TRI_FORM_TOTALS_EZ.ASGN_AGENCY,Code Expansion for Assigned Agency,V_TRI_FORM_TOTALS_EZ.ASSIGNED_AGENCY_CODE,V_TRI_FORM_TOTALS_EZ.ASGN_FEDERAL_IND,V_TRI_FORM_TOTALS_EZ.PARENT_CO_NAME,V_TRI_FORM_TOTALS_EZ.PARENT_CO_DB_NUM,V_TRI_FORM_TOTALS_EZ.STANDARDIZED_PARENT_COMPANY,V_TRI_FORM_TOTALS_EZ.EPA_REGISTRY_ID,V_TRI_FORM_TOTALS_EZ.INDUSTRY_SECTOR_CODE,V_TRI_FORM_TOTALS_EZ.PRIMARY_SIC,V_TRI_FORM_TOTALS_EZ.SIC_CODES,V_TRI_FORM_TOTALS_EZ.PRIMARY_NAICS,V_TRI_FORM_TOTALS_EZ.NAICS_CODE,V_TRI_FORM_TOTALS_EZ.CHEMICAL_NAME,V_TRI_FORM_TOTALS_EZ.TRI_CHEM_ID,V_TRI_FORM_TOTALS_EZ.CHEMICAL_ABSTRACT_NUMBER,V_TRI_FORM_TOTALS_EZ.SRS_IDENTIFIER,V_TRI_FORM_TOTALS_EZ.GENERIC_CHEM_NAME,V_TRI_FORM_TOTALS_EZ.MIXTURE_NAME,V_TRI_FORM_TOTALS_EZ.ELEMENTAL_METAL_INCLUDED,V_TRI_FORM_TOTALS_EZ.CARCINOGEN_CHEMICAL_INDICATOR,V_TRI_FORM_TOTALS_EZ.CLEAN_AIR_ACT_CHEMICAL_INDICATOR,V_TRI_FORM_TOTALS_EZ.R3350_CHEMICAL_INDICATOR,V_TRI_FORM_TOTALS_EZ.DOC_CTRL_NUM,V_TRI_FORM_TOTALS_EZ.FORM_TYPE_IND,V_TRI_FORM_TOTALS_EZ.POSTMARK_DATE,V_TRI_FORM_TOTALS_EZ.ORIG_POSTMARK,V_TRI_FORM_TOTALS_EZ.TRADE_SECRET_IND,V_TRI_FORM_TOTALS_EZ.REVISION_CODE_1,V_TRI_FORM_TOTALS_EZ.REVISION_CODE_2,V_TRI_FORM_TOTALS_EZ.TOTAL_ONSITE_RELEASE,V_TRI_FORM_TOTALS_EZ.AIR_FUG,V_TRI_FORM_TOTALS_EZ.AIR_STACK,V_TRI_FORM_TOTALS_EZ.TOTAL_AIR_RELEASE,V_TRI_FORM_TOTALS_EZ.TOTAL_WATER_RELEASE,V_TRI_FORM_TOTALS_EZ.NUMBER_OF_STREAMS,V_TRI_FORM_TOTALS_EZ.UNINJ8795,V_TRI_FORM_TOTALS_EZ.UNINJ_I,V_TRI_FORM_TOTALS_EZ.UNINJ_IIV,V_TRI_FORM_TOTALS_EZ.LANDF8795,V_TRI_FORM_TOTALS_EZ.RCRA_C,V_TRI_FORM_TOTALS_EZ.OTH_LANDF,V_TRI_FORM_TOTALS_EZ.LAND_TREA,V_TRI_FORM_TOTALS_EZ.SURF_IMP,V_TRI_FORM_TOTALS_EZ.SI_553A,V_TRI_FORM_TOTALS_EZ.SI_553B,V_TRI_FORM_TOTALS_EZ.OTH_DISP,V_TRI_FORM_TOTALS_EZ.TOTAL_LAND_RELEASE,V_TRI_FORM_TOTALS_EZ.TOTAL_POTW_TRANSFER,V_TRI_FORM_TOTALS_EZ.POTW_RELEASE,V_TRI_FORM_TOTALS_EZ.POTW_RELEASE_81C,V_TRI_FORM_TOTALS_EZ.POTW_RELEASE_81D,V_TRI_FORM_TOTALS_EZ.POTW_TREATMENT,V_TRI_FORM_TOTALS_EZ.POTW_METAL,V_TRI_FORM_TOTALS_EZ.POTW_NON_METAL,V_TRI_FORM_TOTALS_EZ.P30,V_TRI_FORM_TOTALS_EZ.P31,V_TRI_FORM_TOTALS_EZ.P32,V_TRI_FORM_TOTALS_EZ.P33,V_TRI_FORM_TOTALS_EZ.P34,V_TRI_FORM_TOTALS_EZ.P35,V_TRI_FORM_TOTALS_EZ.P36,V_TRI_FORM_TOTALS_EZ.P37,V_TRI_FORM_TOTALS_EZ.P38,V_TRI_FORM_TOTALS_EZ.P39,V_TRI_FORM_TOTALS_EZ.M10,V_TRI_FORM_TOTALS_EZ.M41,V_TRI_FORM_TOTALS_EZ.M62,V_TRI_FORM_TOTALS_EZ.M40_METAL,V_TRI_FORM_TOTALS_EZ.M61_METAL,V_TRI_FORM_TOTALS_EZ.M71,V_TRI_FORM_TOTALS_EZ.M81,V_TRI_FORM_TOTALS_EZ.M82,V_TRI_FORM_TOTALS_EZ.M72,V_TRI_FORM_TOTALS_EZ.TOTAL_OFFSITE_RELEASE,V_TRI_FORM_TOTALS_EZ.TOTAL_RECYCLING_TRANSFER,V_TRI_FORM_TOTALS_EZ.TOTAL_RECOVERY_TRANSFER,V_TRI_FORM_TOTALS_EZ.TOTAL_TREATMENT_TRANSFER,V_TRI_FORM_TOTALS_EZ.UNCLASSIFIED_TRANSFERS,V_TRI_FORM_TOTALS_EZ.TOTAL_TRANSFER,V_TRI_FORM_TOTALS_EZ.TOTAL_TQR_RELEASE,V_TRI_FORM_TOTALS_EZ.REL_CURR_YR_QTY,V_TRI_FORM_TOTALS_EZ.REL_81A_CURR_YR_QTY,V_TRI_FORM_TOTALS_EZ.REL_81B_CURR_YR_QTY,V_TRI_FORM_TOTALS_EZ.REL_81C_CURR_YR_QTY,V_TRI_FORM_TOTALS_EZ.REL_81D_CURR_YR_QTY,V_TRI_FORM_TOTALS_EZ.RECYC_ONSITE_CURR_YR_QTY,V_TRI_FORM_TOTALS_EZ.RECYC_OFFSITE_CURR_YR_QTY,V_TRI_FORM_TOTALS_EZ.ENERGY_ONSITE_CURR_YR_QTY,V_TRI_FORM_TOTALS_EZ.ENERGY_OFFSITE_CURR_YR_QTY,V_TRI_FORM_TOTALS_EZ.TREATED_ONSITE_CURR_YR_QTY,V_TRI_FORM_TOTALS_EZ.TREATED_OFFSITE_CURR_YR_QTY,V_TRI_FORM_TOTALS_EZ.TOTAL_PROD_WASTE,V_TRI_FORM_TOTALS_EZ.ONE_TIME_RELEASE_QTY
2019,8021WCLSSC1299E,CLASSIC METALS,1299 E 58TH AVE,DENVER,ADAMS,08,CO,N/A,80216,8,REGION 8,0,,N/A,,C,NA,,NA,110070244438,332,,    ,332323,    ,CHROMIUM,007440473,007440473,150060,NA,NA,NO,NO,YES,1,1319217802976,L,2020-06-02,2020-06-02,0,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,7,0,0,1,6,0,0,0,0,0,0,0,7,
2019,80116GGRGT2571N,AGGREGATE INDUSTRIES WCR INC FRANKTOWN READY MIX PLANT,2571 N STATE HWY 83,FRANKTOWN,DOUGLAS,08,CO,N/A,80116,8,REGION 8,0,,N/A,,C,AGGREGATE INDUSTRIES MANAGEMENT INC,128734949,AGGREGATE INDUSTRIES MANAGEMENT INC,110021161179,327,,    ,327320,    ,LEAD  and LEAD COMPOUNDS,N420,N420,650002,NA,NA,YES,NO,YES,1,1319217805783,L,2020-06-02,2020-06-02,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2019,80216VNCBR38W62,VANCE BROTHERS INC,380 WEST 62ND AVENUE,DENVER,ADAMS,08,CO,N/A,80216,8,REGION 8,0,,N/A,,C,VANCE BROTHERS INC,008808743,VANCE BROTHERS INC,110043694785,324,,    ,324121,    ,BENZO(G H I)PERYLENE,000191242,000191242,40576,NA,NA,NO,NO,YES,0,1319217921182,L,2020-06-17,2020-06-17,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,12.5,12.5,0,0,0,12.5,0,0,0,0,0,0,0,12.5,
2019,80216VNCBR38W62,VANCE BROTHERS INC,380 WEST 62ND AVENUE,DENVER,ADAMS,08,CO,N/A,80216,8,REGION 8,0,,N/A,,C,VANCE BROTHERS INC,008808743,VANCE BROTHERS INC,110043694785,324,,    ,324121,    ,NAPHTHALENE,000091203,000091203,13326,NA,NA,NO,YES,YES,0,1319217921194,S,2020-06-17,2020-06-17,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2019,8100WLTFLS1739E,ALTA FUELS LLC - PUEBLO PLANT,1739 E PLATTEVILLE BLVD,PUEBLO,PUEBLO,08,CO,N/A,81007,8,REGION 8,0,,N/A,,C,WORLD FUEL SERVICES CORP,131504342,WORLD FUEL SERVICES CORP,110058904958,4247,,    ,424710,    ,ETHYLBENZENE,000100414,000100414,19406,NA,NA,NO,YES,YES,0,1319218457238,L,2020-07-01,2020-07-01,0,,,23,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,23,0,0,0,0,0,0,433,0,456,
2019,8021WBNDTD4799D,BAND IT IDEX INC,4799 DAHLIA ST,DENVER,DENVER,08,CO,N/A,80216,8,REGION 8,0,,N/A,,C,IDEX CORP,185580844,IDEX CORP,110015849055,332,,    ,332999,    ,NICKEL,007440020,007440020,149674,NA,NA,NO,YES,YES,1,1319218312674,L,2020-06-29,2020-06-29,0,,,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,2,0,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,21476,0,0,0,21480,8,0,0,1,5,2,0,21476,0,0,0,0,21484,
2019,80913FRTCRCOMMA,US ARMY FORT CARSON (CANTONMENT),1626 EVANS ST BUILDING 1219,FORT CARSON,EL PASO,08,CO,N/A,809134000,8,REGION 8,0,DOD,U.S. DEPT. OF DEFENSE,U.S. DEPT. OF DEFENSE,F,US DEPARTMENT OF DEFENSE,NA,US DEPARTMENT OF DEFENSE,110000495367,999,,    ,928110,    ,NITROGLYCERIN,000055630,000055630,1941,NA,NA,NO,NO,NO,0,1319217789825,L,2020-05-28,2020-05-28,0,,,29249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29249,29249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29249,0,0,29249,0,0,0,0,0,0,0,0,29249,
2019,80640DLTRC9155B,CRYSTAL PACKAGING INC,9155 BOSTON ST,HENDERSON,ADAMS,08,CO,N/A,80640,8,REGION 8,0,,N/A,,C,NA,,NA,110000467575,325,,    ,325998,    ,NONYLPHENOL ETHOXYLATES,N535,N535,1978074,NA,NA,NO,NO,NO,0,1319218184897,L,2020-06-26,2020-06-26,0,,,250,250,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,250,0,0,0,0,0,0,0,0,250,
2019,80701LPRNF2400E,LEPRINO FOODS CO,2400 E BEAVER AVE,FORT MORGAN,MORGAN,08,CO,N/A,80701,8,REGION 8,0,,N/A,,C,LEPRINO FOODS CO,007076664,LEPRINO FOODS CO,110011372335,311,,    ,311513,    ,NITRIC ACID,007697372,007697372,152686,NA,NA,NO,NO,NO,0,1319217893256,L,2020-06-15,2020-06-15,0,,,255,250,5,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,0,0,0,731534,0,731789,
2019,81007NTRST646NS,INTERSTATE CHEMICAL CO INC,646 N STATES AVE,PUEBLO WEST,PUEBLO,08,CO,N/A,81007,8,REGION 8,0,,N/A,,C,INTERSTATE CHEMICAL CO INC,NA,INTERSTATE CHEMICAL CO INC,110038278226,4246,,    ,424690,    ,AMMONIA,007664417,007664417,152389,NA,NA,NO,NO,NO,0,1319217895061,L,2020-06-16,2020-06-16,0,,,27.5,9,18.5,27.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.5,0,0,27.5,0,0,0,0,0,0,0,0,27.5,
