_TRI_REL_AND_TRAN_EZ.TRI_FACILITY_ID,V_TRI_REL_AND_TRAN_EZ.FACILITY_NAME,V_TRI_REL_AND_TRAN_EZ.DOC_CTRL_NUM,V_TRI_REL_AND_TRAN_EZ.REPORTING_YEAR,V_TRI_REL_AND_TRAN_EZ.CHEM_NAME,V_TRI_REL_AND_TRAN_EZ.CAS_NUM,V_TRI_REL_AND_TRAN_EZ.ELEMENTAL_METAL_INCLUDED,V_TRI_REL_AND_TRAN_EZ.CATEGORY,V_TRI_REL_AND_TRAN_EZ.REL_EST_AMT_SUM,V_TRI_REL_AND_TRAN_EZ.CARCINOGEN,V_TRI_REL_AND_TRAN_EZ.CLEAN_AIR,V_TRI_REL_AND_TRAN_EZ.LIST_3350,V_TRI_REL_AND_TRAN_EZ.STREET_ADDRESS,V_TRI_REL_AND_TRAN_EZ.CITY_NAME,V_TRI_REL_AND_TRAN_EZ.COUNTY_NAME,V_TRI_REL_AND_TRAN_EZ.STATE_COUNTY_FIPS_CODE,V_TRI_REL_AND_TRAN_EZ.STATE_ABBR,V_TRI_REL_AND_TRAN_EZ.ZIP_CODE,V_TRI_REL_AND_TRAN_EZ.REGION,V_TRI_REL_AND_TRAN_EZ.FAC_CLOSED_IND,V_TRI_REL_AND_TRAN_EZ.ASGN_AGENCY,V_TRI_REL_AND_TRAN_EZ.ASGN_FEDERAL_IND,V_TRI_REL_AND_TRAN_EZ.PARENT_CO_DB_NUM,V_TRI_REL_AND_TRAN_EZ.PARENT_CO_NAME,V_TRI_REL_AND_TRAN_EZ.INDUSTRY_CODE,V_TRI_REL_AND_TRAN_EZ.SIC_CODES
81001SMMTP13THE,SUMMIT PRESSED BRICK & TILE CO,1319218017768,2019,CHROMIUM,7440-47-3,N,TOTAL ON OFFSITE RELEASE,0,N,Y,Y,601 E 13TH ST,PUEBLO,PUEBLO,08101,CO,81001,8,0,,C,,No US Parent,327,
8150WHLLBR3199D,HALLIBURTON GRAND JUNCTION FIELD CAMP,1319218041248,2019,CERTAIN GLYCOL ETHERS,N230,N,POTW RELEASE,0,N,Y,N,3199 D ROAD,GRAND JUNCTION,MESA,08077,CO,81504,8,0,,C,043296920,HALLIBURTON ENERGY SERVICES INC,4246,
80301HSRCH5555A,AGILENT TECHNOLOGIES BOULDER CO,1319218144463,2019,ACETONITRILE,75-05-8,N,TOTAL OFFSITE RELEASE,1.63,N,Y,N,5555 AIRPORT BLVD,BOULDER,BOULDER,08013,CO,80301,8,0,,C,084963177,AGILENT TECHNOLOGIES INC,325,
80817RYNXN14020,COLORADO SPRINGS UTILITIES RAY NIXON POWER PLANT,1319218420406,2019,AMMONIA,7664-41-7,N,AIR FUG,154,N,N,N,6598 RAY NIXON RD,FOUNTAIN,EL PASO,08041,CO,80817,8,0,,C,127711706,COLORADO SPRINGS UTILITIES,2211,
8062WTLSLF14514,ATLAS OIL - FORT LUPTON,1319217785841,2019,1 2 4-TRIMETHYLBENZENE,95-63-6,N,TOTAL ONSITE RELEASE,0,N,N,N,145 14TH ST,FORT LUPTON,WELD,08123,CO,80621,8,0,,C,147356463,ATLAS OIL CO,4247,
80019MSTRC23655,ELKAY WOOD PRODUCTS CO,1319218278822,2019,CERTAIN GLYCOL ETHERS,N230,N,AIR FUG,1791,N,Y,N,23655 E 19TH AVE,AURORA,ADAMS,08001,CO,80019,8,0,,C,005080429,ELKAY MANUFACTURING CO,337,
80542BLDRS5983R,BOULDER SCIENTIFIC CO LLC - MEAD FACILITY,1319217662220,2019,CERTAIN GLYCOL ETHERS,N230,N,AIR STACK,10.8,N,Y,N,598 3RD ST,MEAD,WELD,08123,CO,80542,8,0,,C,,No US Parent,325,
81002HRSHC11HAR,HARSCO METALS - PUEBLO,1319217984703,2019,LEAD COMPOUNDS,N420,N,AIR FUG,5.5,N,Y,Y,1100 HARLEM CO ROCKY MOUNTAIN STEEL,PUEBLO,PUEBLO,08101,CO,81002,8,0,,C,003952009,HARSCO CORP,327,
80913FRTCRCOMMA,US ARMY FORT CARSON (CANTONMENT),1319217789825,2019,NITROGLYCERIN,55-63-0,N,OTH DISP,29249,N,N,N,1626 EVANS ST BUILDING 1219,FORT CARSON,EL PASO,08041,CO,809134000,8,0,DOD,F,NA,US DEPARTMENT OF DEFENSE,999,
80913FRTCRCOMMA,US ARMY FORT CARSON (CANTONMENT),1319217789825,2019,NITROGLYCERIN,55-63-0,N,TOTAL OFFSITE RELEASE,0,N,N,N,1626 EVANS ST BUILDING 1219,FORT CARSON,EL PASO,08041,CO,809134000,8,0,DOD,F,NA,US DEPARTMENT OF DEFENSE,999,
81006PBLCS2005L,PUBLIC SERVICE CO OF COLORADO COMANCHE STATION,1319218084655,2019,ZINC COMPOUNDS,N982,N,AIR STACK,1200,N,N,N,2005 LIME RD,PUEBLO,PUEBLO,08101,CO,81006,8,0,,C,848381245,XCEL ENERGY,2211,
81006PBLCS2005L,PUBLIC SERVICE CO OF COLORADO COMANCHE STATION,1319218084655,2019,ZINC COMPOUNDS,N982,N,OTH LANDF,46000,N,N,N,2005 LIME RD,PUEBLO,PUEBLO,08101,CO,81006,8,0,,C,848381245,XCEL ENERGY,2211,
81006PBLCS2005L,PUBLIC SERVICE CO OF COLORADO COMANCHE STATION,1319218084655,2019,ZINC COMPOUNDS,N982,N,TOTAL OFFSITE RELEASE,0,N,N,N,2005 LIME RD,PUEBLO,PUEBLO,08101,CO,81006,8,0,,C,848381245,XCEL ENERGY,2211,
81006PBLCS2005L,PUBLIC SERVICE CO OF COLORADO COMANCHE STATION,1319218084655,2019,ZINC COMPOUNDS,N982,N,POTW TREATMENT,0,N,N,N,2005 LIME RD,PUEBLO,PUEBLO,08101,CO,81006,8,0,,C,848381245,XCEL ENERGY,2211,
81006PBLCS2005L,PUBLIC SERVICE CO OF COLORADO COMANCHE STATION,1319218084655,2019,ZINC COMPOUNDS,N982,N,TOTAL ONSITE RELEASE,47232,N,N,N,2005 LIME RD,PUEBLO,PUEBLO,08101,CO,81006,8,0,,C,848381245,XCEL ENERGY,2211,
80301MCRMT7070W,MICRO MOTION INC,1319218249682,2019,NICKEL,7440-02-0,N,TOTAL OFFSITE RELEASE,0,Y,Y,Y,7070 WINCHESTER CIR,BOULDER,BOULDER,08013,CO,80301,8,0,,C,067294808,EMERSON ELECTRIC CO,334,
80301MCRMT7070W,MICRO MOTION INC,1319218249682,2019,NICKEL,7440-02-0,N,POTW RELEASE,0,Y,Y,Y,7070 WINCHESTER CIR,BOULDER,BOULDER,08013,CO,80301,8,0,,C,067294808,EMERSON ELECTRIC CO,334,
8090WGGRGT3749N,AGGREGATE INDUSTRIES WCR INC CS-NORTH READY MIX PLANT,1319218321127,2019,LEAD COMPOUNDS,N420,N,TOTAL ON OFFSITE RELEASE,0,N,Y,Y,3749 N NEVADA AVE,COLORADO SPRINGS,EL PASO,08041,CO,80907,8,0,,C,128734949,AGGREGATE INDUSTRIES MANAGEMENT INC,327,
81001BFGDR50WIL,GOODRICH CARBON OPERATIONS,1319218516666,2019,XYLENE (MIXED ISOMERS),1330-20-7,N,AIR STACK,1067,N,Y,Y,50 WILLIAM WHITE BLVD,PUEBLO,PUEBLO,08101,CO,81001,8,0,,C,001344142,UNITED TECHNOLOGIES CORP,336,
