,REPORTING_YEAR,STATE_ABBR,TOTAL_ON_OFF_SITE_RELEASE,WATER_TOTAL_RELEASE,LAND_TOTAL_RELEASE
0,1987,AZ,68139063.0,3010.0,49367509.0
1,1987,CO,35719514.0,3329444.0,13524044.0
2,1987,MT,40002363.0,996222.0,32506687.0
3,1987,NE,19399519.0,2774398.0,532748.0
4,1987,NM,21377324.0,4321.0,17317290.0
5,1987,UT,254209283.0,144964.0,164603292.0
6,1987,WY,58701906.0,91487.0,54624981.0
7,1988,AZ,73298919.0,22120.0,54561812.0
8,1988,CO,45330697.0,100699.0,8351245.0
9,1988,MT,39759344.0,208074.0,33518905.0
10,1988,NE,23801202.0,309969.0,144262.0
11,1988,NM,31515026.0,510.0,28939907.0
12,1988,UT,140516570.0,330471.0,14503788.0
13,1988,WY,48522927.0,42050.0,43199098.0
14,1989,AZ,52167365.0,2260.0,38185653.0
15,1989,CO,13816689.0,146944.0,891280.0
16,1989,MT,39646436.0,119625.0,36448850.0
17,1989,NE,21388063.0,265960.0,162759.0
18,1989,NM,34351096.0,10.0,31083408.0
19,1989,UT,147594217.0,255590.0,16088398.0
20,1989,WY,18066149.0,82173.0,14318531.0
21,1990,AZ,58502708.0,158.0,44589603.0
22,1990,CO,8691828.0,209080.0,480225.0
23,1990,MT,43109337.0,122153.0,40095462.0
24,1990,NE,21309675.0,492995.0,71554.0
25,1990,NM,44044591.0,11.0,41350862.0
26,1990,UT,214290707.0,278735.0,20259677.0
27,1990,WY,12035338.0,127657.0,7146319.0
28,1991,AZ,74772413.0,32960.0,64222652.0
29,1991,CO,8159248.0,195424.0,488466.0
30,1991,MT,41776131.0,167267.0,38534023.0
31,1991,NE,19852730.0,386629.0,396414.0
32,1991,NM,44332412.0,9991.0,41910197.0
33,1991,UT,102622087.0,120656.0,23721686.0
34,1991,WY,11895687.0,106205.0,8818827.0
35,1992,AZ,60451989.0,5.0,51219005.0
36,1992,CO,5975852.0,139971.0,278690.0
37,1992,MT,44405089.0,188644.0,40959814.0
38,1992,NE,17044994.0,446699.0,109307.0
39,1992,NM,32592805.0,6.0,30525767.0
40,1992,UT,102981032.0,103845.0,13287157.0
41,1992,WY,15062799.0,120529.0,12550476.0
42,1993,AZ,29437582.0,57.0,23193446.0
43,1993,CO,6234525.0,189656.0,287400.0
44,1993,MT,45573107.0,182387.0,42634659.0
45,1993,NE,24385260.0,339827.0,308804.0
46,1993,NM,39443602.0,13014.0,37463244.0
47,1993,UT,103383654.0,48077.0,15738305.0
48,1993,WY,16485734.0,69677.0,14626968.0
49,1994,AZ,38689634.0,39.0,31882407.0
50,1994,CO,4637917.0,92317.0,214730.0
51,1994,MT,47338848.0,110397.0,43511944.0
52,1994,NE,16787409.0,470293.0,833175.0
53,1994,NM,44802843.0,1928.0,42538818.0
54,1994,UT,78192030.0,34108.0,14043163.0
55,1994,WY,22786358.0,43789.0,20125632.0
56,1995,AZ,40465055.0,4859.0,33677416.0
57,1995,CO,5603499.0,993606.0,121314.0
58,1995,MT,43931043.0,96659.0,39420586.0
59,1995,NE,17048623.0,2162438.0,665886.0
60,1995,NM,45082355.0,4305.0,43166935.0
61,1995,UT,79916940.0,1122925.0,8619574.0
62,1995,WY,11355019.0,8984.0,8420733.0
63,1996,AZ,79565538.0,4878.0,69760134.0
64,1996,CO,6463578.0,2141536.0,134981.0
65,1996,MT,48520477.0,91808.0,44362523.0
66,1996,NE,15599579.0,2818132.0,573364.0
67,1996,NM,44549433.0,16424.0,42404613.0
68,1996,UT,88258562.0,1337693.0,12519719.0
69,1996,WY,9790366.0,9406.0,6627969.0
70,1997,AZ,64620132.0,4916.0,55010435.0
71,1997,CO,6439305.0,2209034.0,133016.0
72,1997,MT,43772577.0,97172.0,37719664.0
73,1997,NE,20043111.0,2335832.0,612150.0
74,1997,NM,41968368.0,45055.0,39366196.0
75,1997,UT,104049483.0,1230119.0,27255252.0
76,1997,WY,9357975.0,7485.0,7045458.0
77,1998,AZ,1070062374.0,6236.0,1058666005.0
78,1998,CO,32751840.0,2392924.0,19468379.0
79,1998,MT,129385243.0,94168.0,118640080.0
80,1998,NE,32493757.0,10669938.0,4233430.0
81,1998,NM,264470142.0,57999.0,256151227.0
82,1998,UT,245208009.0,1146801.0,171063918.0
83,1998,WY,23135290.0,18972.0,17588971.0
84,1999,AZ,963213404.88,7100.0,956368067.0
85,1999,CO,27249298.832000002,3188571.0,13689820.0
86,1999,MT,129126885.0,36051.0,120318623.0
87,1999,NE,31718702.0,11347161.0,5046888.0
88,1999,NM,174010852.0,60245.0,167809779.0
89,1999,UT,727721793.0,1053482.0,666880004.0
90,1999,WY,20183153.0,18447.0,16372690.0
91,2000,AZ,743934305.3109143,9238.0,737251540.6922348
92,2000,CO,31149142.697338793,3171581.9501323,17740923.1
93,2000,MT,123220810.39992839,113471.4503562,110675339.05003312
94,2000,NE,35778865.3458678,10830967.027,6812824.0023594
95,2000,NM,127499878.8826165,45397.6,121134190.99999999
96,2000,UT,468040520.15192837,999551.2000002,408830948.71820754
97,2000,WY,21651710.781235404,24521.1800068,17831590.312
98,2001,AZ,607396387.0323293,6377.01,601747194.9917281
99,2001,CO,42054398.10706517,3752596.4981632,28328519.49
100,2001,MT,63757761.28579189,55697.6403563,55719825.100109
101,2001,NE,36846166.395461015,9601100.8321185,6384235.488157801
102,2001,NM,108087311.9726505,39975.0,102180966.89
103,2001,UT,263620087.07436413,1002647.2,234583206.31645456
104,2001,WY,18584360.837186996,11395.3302205,14890659.820999999
105,2002,AZ,329906063.6686039,7161.76,324829935.8513843
106,2002,CO,26956548.08883659,5062968.1902095,12854797.910014
107,2002,MT,33755452.011179686,103195.34999999999,27655322.010096606
108,2002,NE,44356376.0889914,13108748.471266402,7550992.912666099
109,2002,NM,16067531.1609114,68888.5,10924020.239
110,2002,UT,184593103.0118514,63218.0102,157397302.4258578
111,2002,WY,18647668.555110503,21035.360385000004,14954057.389000008
112,2003,AZ,48354756.60303591,7214.700000000001,42648737.26218441
113,2003,CO,23461121.7181927,2955060.4251632,12153881.83
114,2003,MT,45737735.92619767,103172.41000000002,40185084.2021766
115,2003,NE,52889278.61667703,18177387.93717701,8698548.2275129
116,2003,NM,24349877.984925997,62116.189999999995,18209605.906999998
117,2003,UT,247971538.94142383,57977.72000000001,227235653.53641662
118,2003,WY,19459549.0793579,10994.480697,16064337.834
119,2004,AZ,56467487.6418056,918.3499999999999,51064909.22004698
120,2004,CO,25261721.68549059,3101883.2400816004,13035146.660000002
121,2004,MT,61132621.41479801,116647.27,55578158.32016319
122,2004,NE,50017801.042294405,20145099.4091855,5249231.952443102
123,2004,NM,16446750.175827999,72316.15000000001,9880290.512
124,2004,UT,175466915.8717103,56412.19000000001,154052226.7906177
125,2004,WY,16214762.216506692,12950.631,12896289.69
126,2005,AZ,64195870.37626991,680.74,58559317.1651318
127,2005,CO,26735992.521371305,3754570.6762448,12374885.77
128,2005,MT,59050186.452678606,141625.32,53415195.370114915
129,2005,NE,48549165.27574763,21082285.1934638,4261090.1847784
130,2005,NM,18736777.356996097,58395.600000000006,12352065.164
131,2005,UT,180993525.50719208,54524.549999999996,160755989.7459651
132,2005,WY,15621877.2708067,9029.83,12417114.5141
133,2006,AZ,98717773.97715858,3726.0099999999993,91535636.0604344
134,2006,CO,24860488.363858994,3298396.8732426004,12244065.240000004
135,2006,MT,43331911.32292729,147991.22,37988077.310119495
136,2006,NE,44722965.43864961,18842321.15006021,3508464.673282401
137,2006,NM,29331732.685198292,57033.770000000004,22311605.893
138,2006,UT,202057062.79202887,100273.14,181207677.1696108
139,2006,WY,15283797.861659493,7856.1,11836755.976240002
140,2007,AZ,89303131.54878184,4364.3,83094613.88044168
141,2007,CO,24514788.9036682,3357388.6352426005,12859791.790672
142,2007,MT,49222899.72979312,170145.18999999997,43269124.5002198
143,2007,NE,43838967.43736307,17409778.594872303,3171539.2886825996
144,2007,NM,23603553.3620197,58885.88,16953351.46
145,2007,UT,177621208.59114334,94393.60004409999,157297744.66985232
146,2007,WY,15609650.0666819,9853.130174,12158173.624629999
147,2008,AZ,95425541.0074958,58876.51,90187776.01776299
148,2008,CO,22676853.027415294,2645777.4557718,12694991.643410001
149,2008,MT,47549614.66370873,212800.16020070002,42532151.9600688
150,2008,NE,36124502.946437314,16979498.858896703,5320786.495219402
151,2008,NM,22567246.85528,53744.53,16978174.481
152,2008,UT,223196508.60280904,92184.07,203086957.46252593
153,2008,WY,20378550.31174331,11501.0,16564650.1587324
