,REPORTING_YEAR,STATE_ABBR,TOTAL_ON_SITE_RELEASE,TOTAL_OFF_SITE_RELEASE,TOTAL_ON_OFF_SITE_RELEASE,AIR_TOTAL_RELEASE,WATER_TOTAL_RELEASE,LAND_TOTAL_RELEASE,OTH_LANDF_TOT_REL,SURF_IMP_TOT_REL,OTH_DISP_TOT_REL,OTHER_LAND_RELEASE,TOT_ALL_OTH_CATEGS,State,State_Abbr,Latitude,Longitude,tooltip_fld
0,1994,AK,6674391.0,0.0,6674391.0,5476055.0,1150330.0,48006.0,0.0,0.0,47566.0,47816.0,39305.0,Alaska,AK,61.370716,-152.404419,"Total On/Off Site: 6674391
͏
Total On: 6674391
͏
Total Off: 0
͏
Total Land: 48006
͏
Total Water: 1150330
͏
Total Air: 5476055"
1,1995,AK,6834300.0,6030.0,6840330.0,5399584.0,950617.0,484099.0,0.0,480870.0,3011.0,3041.0,6218.0,Alaska,AK,61.370716,-152.404419,"Total On/Off Site: 6840330
͏
Total On: 6834300
͏
Total Off: 6030
͏
Total Land: 484099
͏
Total Water: 950617
͏
Total Air: 5399584"
2,1996,AK,6908783.0,0.0,6908783.0,5878188.0,1024160.0,6435.0,2.0,0.0,6013.0,6013.0,420.0,Alaska,AK,61.370716,-152.404419,"Total On/Off Site: 6908783
͏
Total On: 6908783
͏
Total Off: 0
͏
Total Land: 6435
͏
Total Water: 1024160
͏
Total Air: 5878188"
3,1997,AK,4616687.0,1507.0,4618194.0,4280126.0,334183.0,2378.0,67.0,0.0,1881.0,1881.0,1937.0,Alaska,AK,61.370716,-152.404419,"Total On/Off Site: 4618194
͏
Total On: 4616687
͏
Total Off: 1507
͏
Total Land: 2378
͏
Total Water: 334183
͏
Total Air: 4280126"
4,1998,AK,316541269.0,15887.0,316557156.0,3023221.0,97777.0,313420271.0,0.0,245823287.0,38572723.0,38572723.0,29064822.0,Alaska,AK,61.370716,-152.404419,"Total On/Off Site: 316557156
͏
Total On: 316541269
͏
Total Off: 15887
͏
Total Land: 313420271
͏
Total Water: 97777
͏
Total Air: 3023221"
5,1999,AK,410348719.0,4457.0,410353176.0,2704346.0,96222.0,407548151.0,0.0,241010000.0,131591895.0,131591895.0,34975724.0,Alaska,AK,61.370716,-152.404419,"Total On/Off Site: 410353176
͏
Total On: 410348719
͏
Total Off: 4457
͏
Total Land: 407548151
͏
Total Water: 96222
͏
Total Air: 2704346"
6,2000,AK,535644431.0316044,5332.4,535649763.43160444,3011889.9816043996,103653.0,532528888.05,8453270.25,288447941.9,198837052.9,198837052.9,36820967.4,Alaska,AK,61.370716,-152.404419,"Total On/Off Site: 535649763
͏
Total On: 535644431
͏
Total Off: 5332
͏
Total Land: 532528888
͏
Total Water: 103653
͏
Total Air: 3011890"
7,2001,AK,521772475.26413554,7229.0,521779704.26413554,2905976.1275088,76432.6366266,518790066.50000006,28030158.0,307819802.20000005,162385228.3,162385228.3,20591056.099999998,Alaska,AK,61.370716,-152.404419,"Total On/Off Site: 521779704
͏
Total On: 521772475
͏
Total Off: 7229
͏
Total Land: 518790067
͏
Total Water: 76433
͏
Total Air: 2905976"
8,2002,AK,549407689.4518318,7155.11,549414844.561832,2458833.5618319,66583.99,546882271.9,23170401.8,253750661.1,252197846.99999997,252197846.99999997,17778277.150000006,Alaska,AK,61.370716,-152.404419,"Total On/Off Site: 549414845
͏
Total On: 549407689
͏
Total Off: 7155
͏
Total Land: 546882272
͏
Total Water: 66584
͏
Total Air: 2458834"
9,2003,AK,539443658.6919653,203500.294,539647158.9859653,2083837.5718581,541992.2501071001,536817828.87,309.9,270833014.19,244610124.78000003,244610124.78000003,21593582.355000008,Alaska,AK,61.370716,-152.404419,"Total On/Off Site: 539647159
͏
Total On: 539443659
͏
Total Off: 203500
͏
Total Land: 536817829
͏
Total Water: 541992
͏
Total Air: 2083838"
