REPORTING_YEAR,TOTAL_ON_SITE_RELEASE,TOTAL_OFF_SITE_RELEASE,TOTAL_ON_OFF_SITE_RELEASE,AIR_TOTAL_RELEASE,WATER_TOTAL_RELEASE,LAND_TOTAL_RELEASE,OTH_LANDF_TOT_REL,SURF_IMP_TOT_REL,OTH_DISP_TOT_REL,OTHER_LAND_RELEASE,TOT_ALL_OTH_CATEGS
1994,2365607221.36,325156613.36,2690763834.7200003,1599605311.3600001,59906995.0,706094915.0,61425.0,72451344.0,181893646.0,272115037.0,915447430.36
1995,2387160808.09,316511567.59000003,2703672375.6800003,1596012312.0900002,219987376.0,571161120.0,967759.0,75947530.0,140909716.0,233226543.0,864369740.5899999
1996,2318409398.65,351192220.66980004,2669601619.3198,1487582671.25,228541932.4,602284795.0,69572941.0,85381061.0,191830433.0,191830433.0,882617933.6697999
1997,2281871053.82142,646928580.378,2928799634.1994205,1359379234.21442,291779324.00699997,630712495.6,104064723.1,110276937.0,170785547.5,170785547.5,1190179774.09405
1998,6728946097.182048,556085476.479,7285031573.661048,2093369997.497048,283745919.385,4351830180.3,282518995.3,1434417433.0,2134028291.0,2134028291.0,1147049269.9060502
1999,6794439083.912823,576072762.9949999,7370511846.907822,2044841084.3096218,270576834.5032,4479021165.1,255599195.9,1225810292.0,2508980339.5,2508980339.5,1143505573.16165
2000,6175053015.769804,619498914.7228454,6794551930.492648,1925768435.1510038,269987334.0216031,3979297246.5971994,303100961.3319664,1095550801.828132,2030664872.3253,2030664872.3253,1232247718.2653944
2001,5118913815.323057,616241486.7144758,5735155302.037531,1660132717.2737007,243313070.93264663,3215468027.116711,310855603.7032859,973832849.0865498,1523923190.3200696,1523923190.3200696,1173331058.6536012
2002,4290017476.6164217,598763997.4954877,4888781474.111906,1642234659.7668915,243458939.5507567,2404323877.298776,267242750.2515948,771596653.9557499,958084987.355852,958084987.355852,1133445283.171359
2003,3985936052.8089633,593297048.723474,4579233101.532434,1611322775.7155387,230926932.045738,2143686345.0476882,267975284.55083677,822564313.953445,610525107.7316887,610525107.7316887,1091615304.418105
2004,3733209131.8468995,598079828.2113973,4331288960.058297,1540140265.6264246,253337528.35364345,1939731337.8668349,269311366.68215925,719611904.2888849,542556722.3538527,542556722.3538527,1096939859.5835593
2005,3842195285.084811,624450708.5441082,4466645993.628917,1519947592.418726,254654323.79322177,2067593368.8728645,269816034.71949154,783881814.9055264,595283887.2729911,595283887.2729911,1125747945.2888067
2006,3801741386.4553623,654372882.4158545,4456114268.871215,1418995268.153301,250593383.71043846,2132152734.5916247,264941347.2990697,824699803.3321697,637527570.6449422,637527570.6449422,1143112269.0716915
2007,3580397107.9034247,670587045.026642,4250984152.9300647,1336060241.3939142,239065837.40880814,2005271029.1007035,270508591.8542066,771236895.1064433,593942575.0097151,593942575.0097151,1113634211.030197
2008,3401614708.7656493,575723378.0076106,3977338086.7732587,1154795744.4169474,247191305.05245608,1999627659.2962456,282201968.8532907,742695363.2508621,645067791.7200224,645067791.7200224,1015598492.7938441
2009,3038752342.3667874,398005675.04722387,3436758017.4140096,925988987.7495803,206369852.45864874,1906393502.1585574,240681248.39079762,793788525.8683348,614326588.7110108,614326588.7110108,776276651.7057536
2010,3401823823.5227404,447646814.90004885,3849470638.4227853,863850988.9237291,232566986.37169304,2305405848.2273183,283906248.00368595,789170370.150613,944061006.9679835,944061006.9679835,882302947.4066908
2011,3701653485.0213685,448594471.1039325,4150247956.1253004,808534247.5167353,222879274.53303033,2670239962.9716043,273564995.6633849,884816327.8967192,1229501873.7757065,1229501873.7757065,885701895.6719546
2012,3232366035.5073915,450783448.6471281,3683149484.154521,774592709.9674087,218795978.7008178,2238977346.8391657,269972034.96142954,724567155.4075307,925181241.1361065,925181241.1361065,905429858.329539
2013,3727420751.536146,472449229.49572104,4199869981.031865,775027776.1695098,214266263.42154798,2738126711.945088,297672918.9370952,738934607.4900999,1412569703.1030068,1412569703.1030068,908706478.9256688
2014,3545616858.3917127,492294019.68473965,4037910879.076452,762909944.732007,219150821.56953812,2563556092.090167,298890805.26475775,759011031.2100065,1226936465.9556024,1226936465.9556024,900813574.895046
2015,2970369822.798458,511854831.008679,3482224653.8071356,694539667.5183845,198241067.88246697,2077589087.3976095,296002485.79834425,793155157.5061135,684591224.591392,684591224.591392,925354438.0460349
2016,3120241595.6700716,434570151.58439946,3554811747.2544723,617758750.3331244,191364648.8848373,2311118196.4521093,280737385.3857154,841154949.6993574,878383560.5038606,878383560.5038606,846209318.895349
2017,3530742365.015071,432365519.5700214,3963107884.5850916,616408771.6416332,190131410.4300615,2724202182.943376,307524545.44342625,911166537.9128342,1201359499.0985389,1201359499.0985389,856997106.2926317
2018,3287658104.70356,462682338.5077543,3750340443.211313,619894115.9280665,195395240.32921967,2472368748.446274,290638903.1913364,880093162.8496318,977827817.6448762,977827817.6448762,881621008.0075499
2019,2962470662.9395266,469853076.58115345,3432323739.5206795,600023295.3890572,201246699.9751619,2161200667.575308,243188996.7813659,767269512.2042713,880049535.1695536,880049535.1695536,838738548.0853237
